Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000003642conf8,-7.0,3.567,1.894
6w4hpdbqt_ZINC000000003642conf8,-6.9,1.762,1.386
6w4hpdbqt_ZINC000000003642conf8,-6.6,6.046,2.971
6w4hpdbqt_ZINC000000003642conf8,-6.5,2.465,1.808
6w4hpdbqt_ZINC000000003642conf8,-6.5,32.968,30.477
6w4hpdbqt_ZINC000000003642conf8,-6.4,20.645,17.603
6w4hpdbqt_ZINC000000003642conf9,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf9,-7.0,16.977,15.036
6w4hpdbqt_ZINC000000003642conf9,-6.9,3.568,1.869
6w4hpdbqt_ZINC000000003642conf9,-6.6,7.208,3.614
6w4hpdbqt_ZINC000000003642conf9,-6.6,3.127,2.504
6w4hpdbqt_ZINC000000003642conf9,-6.5,5.989,2.969
6w4hpdbqt_ZINC000000003642conf9,-6.5,11.472,8.706
6w4hpdbqt_ZINC000000003642conf9,-6.4,20.585,17.515
