Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000003872994conf6,-7.7,0.0,0.0
6w4hpdbqt_ZINC000003872994conf7,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003872994conf8,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003872994conf9,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003874498conf1,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf10,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf11,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf12,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf13,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf2,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf3,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf4,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf5,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf6,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf7,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf8,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003874498conf9,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003881640conf1,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003881640conf2,-8.8,0.0,0.0
6w4hpdbqt_ZINC000003881640conf3,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003881640conf4,-8.8,0.0,0.0
6w4hpdbqt_ZINC000003881640conf5,-8.1,0.0,0.0
6w4hpdbqt_ZINC000003914808conf1,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003914808conf10,-8.4,0.0,0.0
6w4hpdbqt_ZINC000003914808conf11,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003914808conf12,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003914808conf13,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003914808conf2,-9.6,0.0,0.0
6w4hpdbqt_ZINC000003914808conf3,-8.8,0.0,0.0
6w4hpdbqt_ZINC000003914808conf4,-8.8,0.0,0.0
6w4hpdbqt_ZINC000003914808conf5,-8.1,0.0,0.0
6w4hpdbqt_ZINC000003914808conf6,-8.1,0.0,0.0
6w4hpdbqt_ZINC000003914808conf7,-9.6,0.0,0.0
6w4hpdbqt_ZINC000003914808conf8,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003914808conf9,-8.5,0.0,0.0
6w4hpdbqt_ZINC000003916214conf1,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003916214conf10,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003916214conf11,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003916214conf12,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003916214conf2,-8.8,0.0,0.0
6w4hpdbqt_ZINC000003916214conf3,-8.7,0.0,0.0
6w4hpdbqt_ZINC000003916214conf4,-8.9,0.0,0.0
